"공장코드","제품코드","제품명","지시번호","설비코드","설비명","작업실코드","작업실명","공정코드","공정명","공정시작시간","공정종료시간","작업자","작업방법","설비가동시작시간","설비가동종료시간","설비최소가동시간","설비최대가동시간","충전투입일"
"1","BOXBLB","OX바디로션(바질)","W26050112W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 10:02:00,2026-05-11 12:03:00,"LCCUser","40분간 교반 용해",2026-05-11 11:51:00,2026-05-11 11:51:00,40,40,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050112W10","GX12003","검믹서 5호","1-R004","유화 배합실","C02","용해",2026-05-11 10:02:00,2026-05-11 12:03:00,"LCCUser","30분간 교반 용해",2026-05-11 12:03:00,2026-05-11 12:03:00,30,30,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050112W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 10:02:00,2026-05-11 12:03:00,"LCCUser","40분간 교반 용해",2026-05-11 10:32:00,2026-05-11 11:51:00,40,40,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050112W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:39:00,2026-05-11 11:50:00,"LCCUser","12분 교반",2026-05-11 10:39:00,2026-05-11 10:51:00,12,12,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050112W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:39:00,2026-05-11 11:50:00,"LCCUser","3분 교반",2026-05-11 11:24:00,2026-05-11 11:27:00,3,3,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050112W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:39:00,2026-05-11 11:50:00,"LCCUser","3분 교반",2026-05-11 10:54:00,2026-05-11 10:58:00,3,3,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050112W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:39:00,2026-05-11 11:50:00,"LCCUser","5분 교반",2026-05-11 10:59:00,2026-05-11 11:04:00,5,5,2026-05-13 00:00:00
"4","BODNGL","OX미인가글(레몬)","W26050113W10","DS40004","4공장 용해조 4호","4-R004","4공장 배합실","C02","용해",2026-05-11 15:38:00,2026-05-11 16:39:00,"LCCUser","20분 용해",2026-05-11 15:38:00,2026-05-11 16:08:00,20,25,2026-05-12 00:00:00
"4","BODNGL","OX미인가글(레몬)","W26050113W10","DS40004","4공장 용해조 4호","4-R004","4공장 배합실","C02","용해",2026-05-11 15:38:00,2026-05-11 16:39:00,"LCCUser","20분 용해",2026-05-11 16:09:00,2026-05-11 16:39:00,20,25,2026-05-12 00:00:00
"4","BODNGL","OX미인가글(레몬)","W26050113W10","GA15001","액상3호","4-R004","4공장 배합실","C03","M/M",2026-05-11 16:23:00,2026-05-11 16:59:00,"LCCUser","20분 교반",2026-05-11 16:39:00,2026-05-11 16:58:00,20,25,2026-05-12 00:00:00
"4","BODNGL","OX미인가글(레몬)","W26050113W10","GA15001","액상3호","4-R004","4공장 배합실","C03","M/M",2026-05-11 16:23:00,2026-05-11 16:59:00,"LCCUser","10분 교반",2026-05-11 16:23:00,2026-05-11 16:39:00,10,15,2026-05-12 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050114W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 12:07:00,2026-05-11 14:25:00,"LCCUser","40분간 교반 용해",2026-05-11 13:30:00,2026-05-11 14:00:00,40,40,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050114W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 12:07:00,2026-05-11 14:25:00,"LCCUser","40분간 교반 용해",2026-05-11 12:07:00,2026-05-11 13:30:00,40,40,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050114W10","GX12003","검믹서 5호","1-R004","유화 배합실","C02","용해",2026-05-11 12:07:00,2026-05-11 14:25:00,"LCCUser","30분간 교반 용해",2026-05-11 14:00:00,2026-05-11 14:25:00,30,30,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050114W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 14:21:00,2026-05-11 15:30:00,"LCCUser","3분 교반",2026-05-11 14:38:00,2026-05-11 14:41:25,3,3,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050114W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 14:21:00,2026-05-11 15:30:00,"LCCUser","12분 교반",2026-05-11 14:22:00,2026-05-11 14:35:02,12,12,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050114W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 14:21:00,2026-05-11 15:30:00,"LCCUser","5분 교반",2026-05-11 14:42:00,2026-05-11 14:47:23,5,5,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050114W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 14:21:00,2026-05-11 15:30:00,"LCCUser","3분 교반",2026-05-11 15:08:00,2026-05-11 15:11:57,3,3,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050115W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 15:48:00,2026-05-11 17:59:00,"LCCUser","40분간 교반 용해",2026-05-11 16:35:00,2026-05-11 17:59:00,40,40,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050115W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 15:48:00,2026-05-11 17:59:00,"LCCUser","40분간 교반 용해",2026-05-11 15:48:00,2026-05-11 16:06:00,40,40,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050115W10","GX12003","검믹서 5호","1-R004","유화 배합실","C02","용해",2026-05-11 15:48:00,2026-05-11 17:59:00,"LCCUser","30분간 교반 용해",2026-05-11 17:59:00,2026-05-11 17:59:00,30,30,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050115W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 16:41:00,2026-05-11 18:01:00,"LCCUser","5분 교반",2026-05-11 17:02:00,2026-05-11 17:07:16,5,5,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050115W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 16:41:00,2026-05-11 18:01:00,"LCCUser","3분 교반",2026-05-11 16:58:00,2026-05-11 17:02:00,3,3,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050115W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 16:41:00,2026-05-11 18:01:00,"LCCUser","12분 교반",2026-05-11 16:43:00,2026-05-11 16:58:00,12,12,2026-05-13 00:00:00
"1","BOXBLB","OX바디로션(바질)","W26050115W10","HM15004","H/M 4호","1-R004","유화 배합실","C03","M/M",2026-05-11 16:41:00,2026-05-11 18:01:00,"LCCUser","3분 교반",2026-05-11 17:31:00,2026-05-11 17:34:14,3,3,2026-05-13 00:00:00
"4","BODNGM","OX미인가글(스페아)","W26050116W10","DS40004","4공장 용해조 4호","4-R004","4공장 배합실","C02","용해",2026-05-11 10:51:00,2026-05-11 11:52:00,"LCCUser","20분 용해",2026-05-11 10:53:00,2026-05-11 11:15:00,20,25,2026-05-12 00:00:00
"4","BODNGM","OX미인가글(스페아)","W26050116W10","DS40004","4공장 용해조 4호","4-R004","4공장 배합실","C02","용해",2026-05-11 10:51:00,2026-05-11 11:52:00,"LCCUser","20분 용해",2026-05-11 11:15:00,2026-05-11 11:39:00,20,25,2026-05-12 00:00:00
"4","BODNGM","OX미인가글(스페아)","W26050116W10","SM20010","액상4호","4-R004","4공장 배합실","C03","M/M",2026-05-11 11:25:00,2026-05-11 12:03:00,"LCCUser","10분 교반",2026-05-11 11:26:00,2026-05-11 11:40:00,10,15,2026-05-12 00:00:00
"4","BODNGM","OX미인가글(스페아)","W26050116W10","SM20010","액상4호","4-R004","4공장 배합실","C03","M/M",2026-05-11 11:25:00,2026-05-11 12:03:00,"LCCUser","20분 교반",2026-05-11 11:40:00,2026-05-11 12:03:00,20,25,2026-05-12 00:00:00
"3","BVLC64392502","VLC메리체리","W26050117W10","LC20011","L/C 4호","3-R003","3공장 배합실","C03","M/M",2026-05-11 13:57:00,2026-05-11 16:53:00,"LCCUser","20분 교반",2026-05-11 14:53:00,2026-05-11 15:13:00,20,20,2026-05-12 00:00:00
"3","BVLC64392502","VLC메리체리","W26050117W10","LC20011","L/C 4호","3-R003","3공장 배합실","C03","M/M",2026-05-11 13:57:00,2026-05-11 16:53:00,"LCCUser","20분 교반",2026-05-11 16:33:00,2026-05-11 16:53:00,20,20,2026-05-12 00:00:00
"3","BVLC64392502","VLC메리체리","W26050117W10","LC20011","L/C 4호","3-R003","3공장 배합실","C03","M/M",2026-05-11 13:57:00,2026-05-11 16:53:00,"LCCUser","30분 교반",2026-05-11 14:22:00,2026-05-11 14:52:00,30,30,2026-05-12 00:00:00
"3","BVLC64392502","VLC메리체리","W26050117W10","LC20011","L/C 4호","3-R003","3공장 배합실","C03","M/M",2026-05-11 13:57:00,2026-05-11 16:53:00,"LCCUser","20분 교반",2026-05-11 15:49:00,2026-05-11 16:33:00,20,20,2026-05-12 00:00:00
"5","BOEPESG19","프로사쿠라가글","W26050118W10","DS50001","5공장 용해조 1호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 10:57:00,2026-05-11 12:15:00,"LCCUser","20분 용해",2026-05-11 11:51:00,2026-05-11 12:15:00,20,25,2026-05-13 00:00:00
"5","BOEPESG19","프로사쿠라가글","W26050118W10","DS50001","5공장 용해조 1호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 10:57:00,2026-05-11 12:15:00,"LCCUser","40분 용해",2026-05-11 11:11:00,2026-05-11 11:51:00,40,45,2026-05-13 00:00:00
"5","BOEPESG19","프로사쿠라가글","W26050118W10","5M00002","제조 2호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 10:58:00,2026-05-11 12:57:00,"LCCUser","20분 교반",2026-05-11 12:17:00,2026-05-11 12:57:00,20,25,2026-05-13 00:00:00
"5","BOEPESG19","프로사쿠라가글","W26050118W10","5M00002","제조 2호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 10:58:00,2026-05-11 12:57:00,"LCCUser","10분 교반",2026-05-11 12:06:00,2026-05-11 12:17:00,10,15,2026-05-13 00:00:00
"1","BMFP16","OX몽글비누(석류)","W26050119W10","MX10001","워시믹서 1호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:57:00,2026-05-11 17:06:00,"LCCUser","20분 교반",2026-05-11 16:37:00,2026-05-11 16:59:25,20,20,2026-05-13 00:00:00
"1","BMFP16","OX몽글비누(석류)","W26050119W10","MX10001","워시믹서 1호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:57:00,2026-05-11 17:06:00,"LCCUser","5분 교반",2026-05-11 16:30:00,2026-05-11 16:37:27,5,5,2026-05-13 00:00:00
"1","BMFP16","OX몽글비누(석류)","W26050119W10","MX10001","워시믹서 1호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:57:00,2026-05-11 17:06:00,"LCCUser","20분 교반",2026-05-11 15:57:00,2026-05-11 16:30:44,20,20,2026-05-13 00:00:00
"1","BMFP16","OX몽글비누(석류)","W26050119W10","MX10001","워시믹서 1호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:57:00,2026-05-11 17:06:00,"LCCUser","5분 교반",2026-05-11 16:59:00,2026-05-11 17:06:43,5,5,2026-05-13 00:00:00
"1","BUP13050","P 스파리무버(유상)","W26050120W10","BM10002","B/M 2호","1-R004","유화 배합실","C03","M/M",2026-05-11 14:37:00,2026-05-11 15:44:00,"LCCUser","20분 교반",2026-05-11 14:49:00,2026-05-11 15:09:46,20,20,2026-05-12 00:00:00
"1","BUP13050","P 스파리무버(유상)","W26050120W10","BM10002","B/M 2호","1-R004","유화 배합실","C03","M/M",2026-05-11 14:37:00,2026-05-11 15:44:00,"LCCUser","20분 교반",2026-05-11 15:22:00,2026-05-11 15:42:40,20,20,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 09:37:00,2026-05-11 11:56:00,"LCCUser","60분 교반",2026-05-11 11:56:00,2026-05-11 11:56:00,60,60,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 09:37:00,2026-05-11 11:56:00,"LCCUser","40분 교반",2026-05-11 11:56:00,2026-05-11 11:56:00,40,40,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","GX12003","검믹서 5호","1-R004","유화 배합실","C02","용해",2026-05-11 09:37:00,2026-05-11 11:56:00,"LCCUser","30분 교반",2026-05-11 10:26:00,2026-05-11 11:56:00,30,30,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 09:37:00,2026-05-11 11:56:00,"LCCUser","20분 교반",2026-05-11 10:12:00,2026-05-11 10:26:00,20,20,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 09:37:00,2026-05-11 11:56:00,"LCCUser","20분 교반",2026-05-11 09:37:00,2026-05-11 10:12:00,20,20,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:27:00,2026-05-11 12:04:00,"LCCUser","5분 교반",2026-05-11 10:52:00,2026-05-11 10:57:00,5,5,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:27:00,2026-05-11 12:04:00,"LCCUser","3분 교반",2026-05-11 12:01:00,2026-05-11 12:04:00,3,3,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:27:00,2026-05-11 12:04:00,"LCCUser","10분 교반",2026-05-11 11:38:00,2026-05-11 11:48:00,10,10,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:27:00,2026-05-11 12:04:00,"LCCUser","10분 교반",2026-05-11 10:40:00,2026-05-11 10:51:00,10,10,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050121W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 10:27:00,2026-05-11 12:04:00,"LCCUser","5분 교반",2026-05-11 10:27:00,2026-05-11 10:37:00,5,5,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 13:42:00,2026-05-11 16:25:00,"LCCUser","40분 교반",2026-05-11 15:00:00,2026-05-11 15:24:00,40,40,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","OL11005","유상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 13:42:00,2026-05-11 16:25:00,"LCCUser","60분 교반",2026-05-11 15:24:00,2026-05-11 16:25:00,60,60,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","GX12003","검믹서 5호","1-R004","유화 배합실","C02","용해",2026-05-11 13:42:00,2026-05-11 16:25:00,"LCCUser","30분 교반",2026-05-11 14:29:00,2026-05-11 15:00:00,30,30,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 13:42:00,2026-05-11 16:25:00,"LCCUser","20분 교반",2026-05-11 14:04:00,2026-05-11 14:28:00,20,20,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","AQ10005","수상 용해조 5호","1-R004","유화 배합실","C02","용해",2026-05-11 13:42:00,2026-05-11 16:25:00,"LCCUser","20분 교반",2026-05-11 13:42:00,2026-05-11 14:04:00,20,20,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:25:00,2026-05-11 17:25:00,"LCCUser","3분 교반",2026-05-11 17:20:00,2026-05-11 17:25:00,3,3,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:25:00,2026-05-11 17:25:00,"LCCUser","10분 교반",2026-05-11 17:09:00,2026-05-11 17:20:00,10,10,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:25:00,2026-05-11 17:25:00,"LCCUser","5분 교반",2026-05-11 15:59:00,2026-05-11 16:55:43,5,5,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:25:00,2026-05-11 17:25:00,"LCCUser","10분 교반",2026-05-11 15:45:00,2026-05-11 17:08:24,10,10,2026-05-12 00:00:00
"1","BUV64851414","V드라이로션(보이드)","W26050122W10","HM15005","H/M 5호","1-R004","유화 배합실","C03","M/M",2026-05-11 15:25:00,2026-05-11 17:25:00,"LCCUser","5분 교반",,2026-05-11 15:59:00,5,5,2026-05-12 00:00:00
"1","BAKHWT","랩신비누(토탈)","W26050123W10","MX10001","워시믹서 1호","1-R004","유화 배합실","C03","M/M",2026-05-11 11:18:00,2026-05-11 12:43:00,"LCCUser","5분 교반",2026-05-11 12:38:00,2026-05-11 12:43:00,5,5,2026-05-14 00:00:00
"1","BAKHWT","랩신비누(토탈)","W26050123W10","MX10001","워시믹서 1호","1-R004","유화 배합실","C03","M/M",2026-05-11 11:18:00,2026-05-11 12:43:00,"LCCUser","20분 교반",2026-05-11 11:18:00,2026-05-11 12:11:00,20,20,2026-05-14 00:00:00
"1","BAKHWT","랩신비누(토탈)","W26050123W10","MX10001","워시믹서 1호","1-R004","유화 배합실","C03","M/M",2026-05-11 11:18:00,2026-05-11 12:43:00,"LCCUser","10분 교반",2026-05-11 12:12:00,2026-05-11 12:33:00,10,10,2026-05-14 00:00:00
"5","BCPPG19","프로가글","W26050124W10","DS50001","5공장 용해조 1호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 09:49:00,2026-05-11 11:49:00,"LCCUser","40분 용해",2026-05-11 09:57:00,2026-05-11 10:39:00,40,45,2026-05-13 00:00:00
"5","BCPPG19","프로가글","W26050124W10","DS50001","5공장 용해조 1호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 09:49:00,2026-05-11 11:49:00,"LCCUser","20분 용해",2026-05-11 10:39:00,2026-05-11 11:02:00,20,25,2026-05-13 00:00:00
"5","BCPPG19","프로가글","W26050124W10","5M00001","제조 1호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 09:50:00,2026-05-11 11:49:00,"LCCUser","10분 교반",2026-05-11 11:03:00,2026-05-11 11:15:00,10,15,2026-05-13 00:00:00
"5","BCPPG19","프로가글","W26050124W10","5M00001","제조 1호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 09:50:00,2026-05-11 11:49:00,"LCCUser","20분 교반",2026-05-11 11:16:00,2026-05-11 11:37:00,20,25,2026-05-13 00:00:00
"5","BCPPG19","프로가글","W26050125W10","DS50001","5공장 용해조 1호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 11:58:00,2026-05-11 13:52:00,"LCCUser","40분 용해",2026-05-11 12:49:00,2026-05-11 13:31:00,40,45,2026-05-13 00:00:00
"5","BCPPG19","프로가글","W26050125W10","DS50001","5공장 용해조 1호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 11:58:00,2026-05-11 13:52:00,"LCCUser","20분 용해",2026-05-11 13:31:00,2026-05-11 13:52:00,20,25,2026-05-13 00:00:00
"5","BCPPG19","프로가글","W26050125W10","5M00001","제조 1호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 13:41:00,2026-05-11 14:15:00,"LCCUser","10분 교반",2026-05-11 13:41:00,2026-05-11 13:52:00,10,15,2026-05-13 00:00:00
"5","BCPPG19","프로가글","W26050125W10","5M00001","제조 1호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 13:41:00,2026-05-11 14:15:00,"LCCUser","20분 교반",2026-05-11 13:52:00,2026-05-11 14:15:00,20,25,2026-05-13 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050126W10","DS50003","5공장 용해조 3호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 09:34:00,2026-05-11 11:50:00,"LCCUser","premixing 30분 용해",2026-05-11 09:35:00,2026-05-11 10:08:00,30,35,2026-05-12 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050126W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 09:35:00,2026-05-11 11:50:00,"LCCUser","60분 교반",2026-05-11 10:25:00,2026-05-11 11:32:00,60,65,2026-05-12 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050126W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 09:35:00,2026-05-11 11:50:00,"LCCUser","30분 교반",2026-05-11 09:35:00,2026-05-11 10:08:00,30,35,2026-05-12 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050126W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 09:35:00,2026-05-11 11:50:00,"LCCUser","15분 교반",2026-05-11 10:08:00,2026-05-11 10:25:00,15,20,2026-05-12 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050127W10","DS50003","5공장 용해조 3호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 13:36:00,2026-05-11 14:09:00,"LCCUser","premixing 30분 용해",2026-05-11 13:36:00,2026-05-11 14:09:00,30,35,2026-05-12 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050127W10","DS50003","5공장 용해조 3호","5-R003","5공장 가글 배합실","C02","용해",2026-05-11 13:36:00,2026-05-11 14:09:00,"LCCUser","premixing 30분 용해",2026-05-11 13:36:00,2026-05-11 14:09:00,30,35,2026-05-13 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050127W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 13:36:00,2026-05-11 15:29:00,"LCCUser","15분 교반",2026-05-11 14:10:00,2026-05-11 14:25:00,15,20,2026-05-13 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050127W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 13:36:00,2026-05-11 15:29:00,"LCCUser","60분 교반",2026-05-11 14:25:00,2026-05-11 15:29:00,60,65,2026-05-13 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050127W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 13:36:00,2026-05-11 15:29:00,"LCCUser","15분 교반",2026-05-11 14:10:00,2026-05-11 14:25:00,15,20,2026-05-12 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050127W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 13:36:00,2026-05-11 15:29:00,"LCCUser","30분 교반",2026-05-11 13:36:00,2026-05-11 14:09:00,30,35,2026-05-12 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050127W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 13:36:00,2026-05-11 15:29:00,"LCCUser","30분 교반",2026-05-11 13:36:00,2026-05-11 14:09:00,30,35,2026-05-13 00:00:00
"5","BETBMG","TB가글(마일드,수출)","W26050127W10","5M00003","제조 3호","5-R003","5공장 가글 배합실","C03","M/M",2026-05-11 13:36:00,2026-05-11 15:29:00,"LCCUser","60분 교반",2026-05-11 14:25:00,2026-05-11 15:29:00,60,65,2026-05-12 00:00:00
